sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","savedsearch_name","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_savedsearch_name","__mv_search_et","__mv_api_lt","__mv_search_lt"
"admin__admin__search__search3_1442800599.23","search `audit_searchlocal` | eval user = if(user=""n/a"", null(), user) | stats min(_time) as _time first(user) as user max(total_run_time) as total_run_time by search_id | stats sum(total_run_time) by user | sort - sum(total_run_time) | head 5","search-head1","1442800599.215390",0,23,1442800599,2,1427,completed,"1.250000","1442714199.000000000",search3,"1442714199.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1442800599.24","search `audit_searchlocal` | convert num(total_run_time) | eval user = if(user=""n/a"", null(), user) | `audit_rexsearch` | stats first(total_run_time) as total_run_time first(user) as user first(search) as search by search_id | search user=* | stats count dc(user) as users avg(total_run_time) as ""Average run time (s)"" by search | sort - count","search-head1","1442800599.217772",0,23,1442800599,11,1427,completed,"1.245000","1442796999.000000000",search4,"1442796999.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1442800599.25","search `audit_searchlocal` |  convert num(total_run_time) | eval user = if(user=""n/a"", null(), user) | `audit_rexsearch` | eval is_scheduled = if(search_id LIKE ""scheduler%"", ""yes"", ""no"") | stats min(_time) as _time first(user) as user first(total_run_time) as total_run_time first(search) as search first(is_scheduled) as is_scheduled by search_id | search user=* | sort - _time","search-head1","1442800599.219679",0,23,1442800599,13,1427,completed,"1.215000","1442796999.000000000",search5,"1442796999.000000000",,,,,,,,,,,,,,,,,,
"admin__admin__search__search6_1442800599.26","search `audit_searchlocal` |  convert num(total_run_time) | eval user = if(user=""n/a"", null(), user) | `audit_rexsearch` | eval is_scheduled = if(search_id LIKE ""scheduler%"", ""yes"", ""no"") | stats min(_time) as _time first(user) as user first(total_run_time) as total_run_time first(search) as search first(is_scheduled) as is_scheduled by search_id | search user=* | sort - total_run_time","search-head1","1442800599.221982",0,23,1442800599,13,1427,completed,"1.185000","1442796999.000000000",search6,"1442796999.000000000",,,,,,,,,,,,,,,,,,
"1442800633.27","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800633.631994",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800633.28","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800633.733329",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800633.29","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800633.849959",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800633.30","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800633.964527",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800644.31","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800644.816466",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800644.32","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800644.941177",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800645.33","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800645.054509",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1442800645.34","| eventcount summarize=false index=* index=_* | dedup index","search-head1","1442800645.160622",0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rt_1442800655.35","| metadata type=sourcetypes | search totalCount > 0","search-head1","1442800655.758417",1,0,1442800655,0,0,canceled,"6.028000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800657.36","| metadata type=sources | search totalCount > 0 | table source totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800657.791251",1,0,1442800657,0,0,canceled,"4.049000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800657.37","| metadata type=hosts | search totalCount > 0 | table host totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800657.792787",1,0,1442800657,0,0,canceled,"4.058000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800657.38","| metadata type=sourcetypes | search totalCount > 0 | table sourcetype totalCount recentTime | fieldformat totalCount=tostring(totalCount, ""commas"") | fieldformat recentTime=strftime(recentTime, ""%Y-%m-%dT%H:%M:%S.%Q%:z"")","search-head1","1442800657.793804",1,0,1442800657,0,0,canceled,"4.058000",,,,,,,,,,,,,,,,,,,,,
"1442800660.39","search host=""search-head1""","search-head1","1442800660.961214",0,19,1442800661,19,19,completed,"0.127000",,,,,,,,,,,,,,,,,,,,,
"1442800692.40","search host=""search-head1""","search-head1","1442800692.729798",0,19,1442800692,19,19,completed,"0.139000",,,,,,,,,,,,,,,,,,,,,
"1442800697.41","search host=""search-head1""","search-head1","1442800697.569721",0,19,1442800697,19,19,completed,"0.118000","1442797080.000000000",,"1442797080.000000000","1442800697.000000000","1442800697.000000000",,,,,,,,,,,,,,,,
"rt_1442800702.42","search host=""search-head1""","search-head1","1442800702.255108",1,0,1442800702,0,0,canceled,"39.100000",,,,,,,,,,,,,,,,,,,,,
"rt_1442800710.43","search host=""search-head1""","search-head1","1442800710.347041",1,19,1442800710,0,19,canceled,"1031.295000",,,,,,,,,,,,,,,,,,,,,
"rt_1442801710.44","search host=""search-head1""","search-head1","1442801710.850415",1,19,1442801710,0,19,canceled,"46.110000",,,,,,,,,,,,,,,,,,,,,
