sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1442456522.4","search source=""/var/log/ansible.log"" host=""ansible-server"" index=""ansible"" sourcetype=""ansible""","ansible-server","1442456522.384427",0,98,1442456522,98,98,completed,"0.240000",,,,,,,,,,,
"1442458442.7","search source=""git-whatchange-ansible"" host=""ansible-server"" index=""ansible"" sourcetype=""git-whatchanged""","ansible-server","1442458442.183738",0,0,1442458442,0,0,completed,"0.104000",,,,,,,,,,,
"1442458452.9","|history | head 2000 | search event_count>0 OR result_count>0 | dedup search | table search","ansible-server","1442458452.043653",0,0,1442458452,1,0,canceled,"0.007000",,,,,,,,,,,
"rt_1442458469.10","search source=""git-whatchange-ansible"" host=""ansible-server"" index=""ansible"" sourcetype=""git-whatchanged""","ansible-server","1442458469.160350",1,0,1442458469,0,0,canceled,"34.132000",,,,,,,,,,,
"rt_1442458472.11","search source=""git-whatchange-ansible"" host=""ansible-server"" index=""ansible"" sourcetype=""git-whatchanged""","ansible-server","1442458472.350879",1,0,1442458472,0,7,canceled,"1088.292000",,,,,,,,,,,
